ModelName,ModelID,InputCost,OutputCost,ContextTokens
xAI Grok Code Fast 1,x-ai/grok-code-fast-1,0.20,1.50,256000
Google Gemini 2.5 Flash,google/gemini-2.5-flash,0.30,2.50,1048576
xAI Grok 4 Fast,x-ai/grok-4-fast,0.20,0.50,2000000
Google Gemini 2.0 Flash,google/gemini-2.0-flash-001,0.10,0.40,1048576
DeepSeek DeepSeek V3 0324,deepseek/deepseek-chat-v3-0324,0.24,0.84,163840
Google Gemini 2.5 Flash Lite,google/gemini-2.5-flash-lite,0.10,0.40,1048576
OpenAI GPT-4o-mini,openai/gpt-4o-mini,0.15,0.60,128000
Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4.5,1.00,5.00,200000
Z.AI GLM 4.6,z-ai/glm-4.6,0.45,2.10,202752
OpenAI gpt-oss-120b,openai/gpt-oss-120b,0.04,0.40,131072
TNG DeepSeek R1T2 Chimera free,tngtech/deepseek-r1t2-chimera:free,0.00,0.00,163840
Qwen Qwen3 235B A22B Instruct 2507,qwen/qwen3-235b-a22b-instruct-2507,0.08,0.55,262144
DeepSeek DeepSeek V3.1,deepseek/deepseek-chat-v3.1,0.27,1.00,131072
Google Gemini 2.5 Flash Preview 09-2025,google/gemini-2.5-flash-preview-09-2025,0.30,2.50,1048576
OpenAI GPT-5 Mini,openai/gpt-5-mini,0.25,2.00,400000
DeepSeek DeepSeek V3.2 Exp,deepseek/deepseek-v3.2-exp,0.27,0.40,163840
Qwen Qwen3 Coder 480B A35B,qwen/qwen3-coder,0.22,0.95,262144
OpenAI GPT-5 Nano,openai/gpt-5-nano,0.05,0.40,400000
Google Gemini 2.5 Flash Lite Preview 09-2025,google/gemini-2.5-flash-lite-preview-09-2025,0.10,0.40,1048576
Mistral Mistral Nemo,mistralai/mistral-nemo,0.02,0.04,131072
OpenAI GPT-4.1 Mini,openai/gpt-4.1-mini,0.40,1.60,1047576
Qwen Qwen3 VL 235B A22B Instruct,qwen/qwen3-vl-235b-a22b-instruct,0.30,1.20,262144
OpenAI gpt-oss-20b,openai/gpt-oss-20b,0.03,0.14,131072
Z.AI GLM 4.5 Air free,z-ai/glm-4.5-air:free,0.00,0.00,131072
Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,0.13,0.38,131072
Google Gemma 3 27B,google/gemma-3-27b-it,0.09,0.16,131072
Google Gemma 3 12B,google/gemma-3-12b-it,0.03,0.10,131072
Meta Llama 4 Maverick,meta-llama/llama-4-maverick,0.15,0.60,1048576
DeepSeek DeepSeek V3.1 Terminus,deepseek/deepseek-v3.1-terminus,0.23,0.90,163840
Google Gemini 2.0 Flash Lite,google/gemini-2.0-flash-lite-001,0.075,0.30,1048576
DeepSeek R1 0528,deepseek/deepseek-r1-0528,0.40,1.75,163840
Meta Llama 3.1 8B Instruct,meta-llama/llama-3.1-8b-instruct,0.02,0.03,16384
TNG DeepSeek R1T Chimera free,tngtech/deepseek-r1t-chimera:free,0.00,0.00,163840
Z.AI GLM 4.5 Air,z-ai/glm-4.5-air,0.13,0.85,131072
MiniMax MiniMax M2 free,minimax/minimax-m2:free,0.00,0.00,204800
xAI Grok 3 Mini,x-ai/grok-3-mini,0.30,0.50,131072
Qwen Qwen3 Next 80B A3B Instruct,qwen/qwen3-next-80b-a3b-instruct,0.10,0.80,262144
Mistral Mistral Small 3.2 24B,mistralai/mistral-small-3.2-24b-instruct,0.06,0.18,131072
Andromeda Alpha,openrouter/andromeda-alpha,0.00,0.00,128000
MoonshotAI Kimi K2 0905,moonshotai/kimi-k2-0905,0.39,1.90,262144
Mistral Mistral Small 3,mistralai/mistral-small-24b-instruct-2501,0.05,0.08,32768
DeepSeek DeepSeek V3,deepseek/deepseek-chat,0.30,0.85,163840
Qwen Qwen2.5 VL 72B Instruct,qwen/qwen2.5-vl-72b-instruct,0.08,0.33,32768
DeepSeek R1 0528 free,deepseek/deepseek-r1-0528:free,0.00,0.00,163840
DeepSeek DeepSeek V3 0324 free,deepseek/deepseek-chat-v3-0324:free,0.00,0.00,163840
OpenAI GPT-4.1 Nano,openai/gpt-4.1-nano,0.10,0.40,1047576
Anthropic Claude 3.5 Haiku,anthropic/claude-3.5-haiku,0.80,4.00,200000
Google Gemini 2.5 Flash Lite Preview 06-17,google/gemini-2.5-flash-lite-preview-06-17,0.10,0.40,1048576
Z.AI GLM 4.5,z-ai/glm-4.5,0.35,1.55,131072
MoonshotAI Kimi K2 0711,moonshotai/kimi-k2,0.14,2.49,63000
Qwen Qwen3 235B A22B Thinking 2507,qwen/qwen3-235b-a22b-thinking-2507,0.11,0.60,262144
